Age,Salary,Education_Level,Years_of_Experience,Department,Location
61,95135,PhD,37,Marketing,Chicago
37,60046,Master,14,Marketing,Austin
47,72064,Bachelor,14,Marketing,New York
28,94350,High School,24,Finance,Chicago
45,70893,Bachelor,20,Sales,New York
42,86272,Master,23,Sales,Chicago
56,117152,Master,4,HR,New York
50,92649,Bachelor,5,Finance,Chicago
18,89674,High School,22,HR,Los Angeles
44,38760,Bachelor,3,Finance,San Francisco
69,46927,High School,26,HR,Los Angeles
30,111475,Bachelor,17,Engineering,New York
58,86367,Master,20,Marketing,Austin
20,37588,PhD,27,Marketing,Los Angeles
56,77233,PhD,34,Sales,San Francisco
23,69738,High School,21,Engineering,New York
25,58397,High School,39,Marketing,Los Angeles
44,107189,High School,22,Sales,Chicago
26,101367,Master,2,Engineering,Austin
54,96260,Bachelor,39,Marketing,New York
50,101619,Master,9,HR,Los Angeles
68,44816,PhD,24,Finance,New York
59,67240,High School,7,Engineering,Chicago
61,31276,Bachelor,10,Sales,San Francisco
41,104530,PhD,4,Engineering,Los Angeles
32,48499,PhD,36,Sales,New York
49,113576,PhD,37,Engineering,New York
49,107495,Master,28,Sales,New York
41,96635,High School,4,Marketing,San Francisco
58,110112,PhD,8,HR,New York
69,60946,High School,1,Marketing,Austin
66,80204,Master,0,HR,Austin
66,76886,PhD,39,Marketing,New York
69,96652,Master,29,Marketing,Austin
29,40563,Master,10,Engineering,Los Angeles
56,117324,High School,27,Finance,Austin
19,117464,PhD,11,Sales,New York
20,34847,Master,38,Sales,Chicago
66,51155,PhD,25,Sales,Los Angeles
54,104671,High School,12,HR,San Francisco
66,108310,Master,7,Sales,New York
34,92278,High School,27,Sales,San Francisco
66,43309,PhD,29,Engineering,Chicago
19,25619,PhD,8,Marketing,San Francisco
19,108194,High School,38,Sales,New York
45,75108,Bachelor,30,Finance,New York
40,59707,Master,20,Sales,Chicago
54,45337,PhD,33,HR,New York
49,106537,PhD,30,HR,Chicago
50,91504,Master,24,HR,Chicago
18,72614,High School,11,Sales,New York
36,116428,High School,0,Engineering,Austin
19,116155,High School,21,Finance,Chicago
61,25281,Bachelor,39,Sales,New York
43,52420,Bachelor,36,Engineering,Austin
49,105896,PhD,0,Engineering,Chicago
23,64030,High School,0,Sales,Austin
49,26058,Master,20,Sales,Los Angeles
21,111213,PhD,14,Engineering,Los Angeles
28,101260,Master,16,Engineering,Austin
34,53404,PhD,21,Engineering,Chicago
55,54856,Bachelor,37,Sales,New York
41,34200,PhD,34,Engineering,San Francisco
22,89178,Bachelor,15,HR,New York
69,58997,PhD,7,Sales,San Francisco
51,50611,High School,16,HR,San Francisco
23,66235,Master,16,Marketing,Chicago
39,60057,High School,25,Sales,Austin
28,26239,PhD,12,Marketing,New York
65,90661,PhD,16,Engineering,Austin
33,70272,PhD,37,Engineering,Los Angeles
50,114393,Bachelor,16,Finance,Chicago
26,86212,Master,13,Engineering,Chicago
23,40398,Master,5,Marketing,Los Angeles
33,81503,PhD,34,Engineering,New York
46,31638,PhD,13,Sales,Los Angeles
20,31570,Bachelor,7,Engineering,New York
37,93785,High School,14,Finance,San Francisco
53,34110,High School,26,Engineering,Chicago
36,104141,Master,12,Marketing,New York
43,37115,Bachelor,30,Marketing,Austin
20,64062,PhD,34,Engineering,Austin
36,47911,Master,5,Marketing,Chicago
37,57556,Bachelor,4,Marketing,Los Angeles
49,103131,High School,21,Finance,Los Angeles
24,26969,Bachelor,22,Sales,New York
69,68753,High School,24,Finance,Los Angeles
58,107811,Bachelor,33,HR,Chicago
50,29470,Master,25,Finance,New York
57,35225,High School,4,Engineering,San Francisco
56,48196,Master,25,Sales,Los Angeles
35,38669,Master,19,Engineering,Los Angeles
57,62380,High School,5,HR,New York
18,73320,High School,5,Sales,Austin
28,72414,PhD,17,Marketing,Los Angeles
45,40577,PhD,3,Finance,Chicago
42,113009,PhD,16,Engineering,Los Angeles
67,80409,Master,13,HR,San Francisco
40,53625,Master,13,Marketing,Los Angeles
48,106040,PhD,12,Finance,Austin
47,49089,Master,6,Marketing,Los Angeles
59,61487,Master,14,Finance,New York
52,90838,High School,18,Sales,Los Angeles
24,119795,High School,34,Marketing,Austin
33,75138,Master,16,Marketing,New York
43,67823,PhD,34,Marketing,Chicago
65,62208,Bachelor,18,Sales,New York
69,79061,PhD,19,HR,San Francisco
66,55659,Bachelor,35,Finance,New York
19,56890,PhD,34,Marketing,Chicago
18,104134,High School,31,Sales,Los Angeles
65,72055,Master,39,HR,New York
29,44508,Master,23,Finance,New York
22,67287,High School,16,Sales,New York
54,103916,Bachelor,6,Finance,New York
49,51984,Bachelor,0,Marketing,Chicago
26,33125,Bachelor,34,HR,Austin
58,61059,High School,31,Sales,Austin
52,94569,Bachelor,35,HR,New York
36,42087,High School,12,Marketing,Chicago
65,30704,PhD,5,HR,Chicago
33,85576,PhD,13,HR,New York
20,98384,High School,36,Engineering,San Francisco
37,112128,Master,14,HR,New York
41,97460,PhD,3,Finance,San Francisco
50,52208,Bachelor,39,Sales,New York
41,110150,High School,15,Engineering,San Francisco
69,91024,Bachelor,27,Sales,San Francisco
28,64882,Bachelor,15,Sales,New York
66,50923,Master,3,Marketing,San Francisco
25,54165,Bachelor,25,Marketing,Los Angeles
53,92203,Master,27,Engineering,Austin
55,116749,PhD,31,Marketing,Chicago
57,29114,High School,1,Marketing,San Francisco
37,89965,Bachelor,30,Marketing,San Francisco
52,61321,High School,2,Sales,Chicago
65,98297,Bachelor,7,Engineering,San Francisco
42,50426,High School,23,Sales,Chicago
52,42772,Bachelor,14,Finance,New York
42,28712,Bachelor,30,Sales,Los Angeles
46,26367,Bachelor,8,Finance,Los Angeles
35,116736,Bachelor,38,HR,Austin
63,76924,Bachelor,1,HR,San Francisco
35,28726,Bachelor,7,Finance,Austin
19,114152,Bachelor,6,Finance,New York
52,52723,Bachelor,38,Sales,Los Angeles
33,34108,Bachelor,15,Finance,New York
58,102714,High School,34,Engineering,New York
53,60643,Master,29,HR,San Francisco
50,56324,Bachelor,9,HR,New York
21,108360,Master,37,Finance,Los Angeles
50,33927,Bachelor,17,Marketing,Austin
31,118680,Bachelor,4,Marketing,Los Angeles
38,47443,High School,28,Finance,San Francisco
65,104973,PhD,38,Engineering,Los Angeles
37,88449,PhD,33,Marketing,Chicago
25,101743,High School,22,Finance,Austin
24,85233,Master,4,Engineering,Chicago
20,50537,PhD,29,Engineering,Chicago
34,102576,High School,5,Sales,San Francisco
50,47612,High School,3,Engineering,New York
65,118977,PhD,28,Marketing,Chicago
29,31471,Master,22,Marketing,Los Angeles
68,60631,High School,5,Finance,New York
39,117059,Bachelor,31,Finance,Los Angeles
39,56348,Master,17,Engineering,Los Angeles
63,89732,Master,14,HR,New York
47,26177,PhD,39,Sales,New York
55,29760,PhD,31,HR,Los Angeles
55,57779,Bachelor,8,Engineering,San Francisco
62,46636,High School,36,Engineering,Austin
68,106889,PhD,9,HR,Austin
25,78551,PhD,19,Sales,San Francisco
44,36556,Master,5,HR,New York
44,52598,PhD,2,Finance,Los Angeles
51,36563,PhD,10,Marketing,Austin
38,71819,PhD,16,Finance,Los Angeles
47,98770,PhD,31,Marketing,San Francisco
50,116055,Master,3,Engineering,Los Angeles
45,51966,Bachelor,3,Sales,San Francisco
64,106709,Bachelor,16,HR,New York
50,84889,High School,18,Sales,San Francisco
22,51987,PhD,4,HR,San Francisco
65,103714,Master,31,Finance,Austin
36,83348,High School,21,Finance,Los Angeles
21,49596,High School,5,HR,Austin
52,58174,Bachelor,34,Sales,Chicago
66,89106,Master,21,HR,San Francisco
34,94967,Master,0,Engineering,Chicago
61,84182,Master,19,Finance,Austin
45,118300,Bachelor,21,Engineering,Los Angeles
47,112163,Bachelor,10,Finance,Austin
46,64310,Bachelor,12,Finance,Los Angeles
63,81088,Bachelor,2,Marketing,Los Angeles
23,33906,Bachelor,8,Engineering,New York
52,61914,PhD,11,Engineering,San Francisco
58,70379,PhD,22,Marketing,Austin
54,103612,Master,13,Sales,Los Angeles
41,62650,High School,32,Engineering,Austin
46,71881,Master,17,HR,Austin
66,71413,High School,8,Marketing,Los Angeles
63,31012,Bachelor,22,Engineering,Chicago
48,75115,High School,9,Sales,San Francisco
52,32151,Master,18,Engineering,San Francisco
50,82716,Master,4,Finance,New York
69,118747,High School,22,HR,New York
38,117653,PhD,29,Marketing,New York
49,61378,Bachelor,24,Finance,San Francisco
40,67652,Bachelor,27,Sales,Chicago
50,97430,Master,33,Finance,San Francisco
20,38467,PhD,24,Finance,San Francisco
35,56010,High School,9,Sales,San Francisco
42,79691,Bachelor,13,Finance,San Francisco
59,89157,PhD,29,Marketing,Chicago
48,37289,Bachelor,24,Engineering,New York
20,69976,PhD,13,Finance,Austin
57,68596,PhD,34,Marketing,New York
63,48171,Master,33,Engineering,New York
41,111365,Bachelor,9,Engineering,Austin
67,69139,High School,34,Finance,San Francisco
49,73713,Master,10,Marketing,Chicago
64,54734,Master,10,Finance,Chicago
39,97588,High School,20,Sales,New York
40,88646,Master,20,Engineering,Austin
19,28654,PhD,21,Finance,Los Angeles
44,114022,PhD,6,Engineering,San Francisco
59,43743,Bachelor,16,Marketing,New York
19,73368,Bachelor,1,HR,Chicago
43,115025,High School,11,Finance,Austin
34,99172,Bachelor,17,Finance,Austin
57,31441,PhD,10,Engineering,New York
50,49611,High School,15,Marketing,Los Angeles
26,37149,High School,17,Sales,Chicago
60,84189,Bachelor,34,Marketing,New York
65,46675,PhD,25,Finance,Los Angeles
56,96031,High School,15,Sales,Austin
46,67668,PhD,5,Marketing,San Francisco
59,38673,PhD,11,HR,Chicago
43,101666,PhD,12,Engineering,Chicago
52,113204,Bachelor,3,Marketing,Los Angeles
67,105758,Master,38,Marketing,New York
42,90429,Master,1,HR,Austin
41,48669,High School,25,Finance,Los Angeles
30,59068,PhD,26,Engineering,San Francisco
24,113789,Bachelor,26,Marketing,San Francisco
53,34435,PhD,14,Sales,San Francisco
62,119088,PhD,7,Marketing,Los Angeles
37,77249,Bachelor,6,Engineering,Austin
18,62384,Master,39,Marketing,Chicago
25,106929,PhD,11,HR,New York
63,101153,PhD,12,Marketing,Chicago
33,100388,Master,16,Marketing,Austin
31,56401,Bachelor,16,Sales,Chicago
29,96831,High School,35,HR,Los Angeles
68,59084,Master,20,HR,San Francisco
40,80826,High School,7,Marketing,Austin
32,61451,High School,4,Sales,Austin
45,32227,Master,25,Marketing,Chicago
51,56910,PhD,15,Marketing,Los Angeles
19,61041,High School,35,Engineering,Chicago
49,113920,High School,27,Engineering,Chicago
40,90681,Bachelor,28,Sales,Austin
39,106571,PhD,11,Finance,Chicago
68,90481,High School,36,Engineering,San Francisco
42,93576,Bachelor,29,Finance,Chicago
39,89174,PhD,22,HR,San Francisco
39,51160,Master,15,Engineering,Austin
66,42633,Master,13,Engineering,Los Angeles
69,119880,Bachelor,9,Sales,San Francisco
59,42014,Master,6,Finance,Los Angeles
23,105532,High School,36,Engineering,Los Angeles
32,74104,PhD,28,Engineering,San Francisco
60,66621,High School,2,Sales,Austin
54,102231,High School,14,Sales,New York
50,93388,Master,35,Finance,Los Angeles
25,41014,High School,18,HR,Los Angeles
61,117578,Master,12,HR,Austin
61,58755,PhD,20,Marketing,Austin
22,65390,PhD,36,Engineering,Chicago
56,48711,High School,26,Finance,Austin
21,116658,Bachelor,28,Engineering,Los Angeles
23,82993,Master,19,Finance,San Francisco
62,99696,Master,24,Finance,New York
49,52213,High School,5,Finance,Chicago
69,82784,Master,35,Engineering,San Francisco
47,32421,Master,1,Sales,New York
64,111936,Bachelor,21,Engineering,New York
52,42727,Bachelor,31,Finance,New York
57,29358,High School,15,Marketing,San Francisco
69,90108,Bachelor,17,HR,Chicago
33,119018,High School,4,Finance,Chicago
30,57117,PhD,35,Marketing,New York
67,113700,High School,29,Sales,San Francisco
59,56910,PhD,18,Finance,New York
47,80754,High School,22,Marketing,Austin
36,87438,Master,33,Finance,Chicago
34,54371,Bachelor,12,Engineering,Los Angeles
36,76501,PhD,28,Marketing,New York
45,85946,High School,35,Engineering,Austin
43,63467,Bachelor,21,Engineering,Chicago
54,42625,High School,35,Marketing,San Francisco
43,58893,Bachelor,8,HR,Chicago
40,101329,Bachelor,38,Marketing,San Francisco
26,56007,High School,18,HR,San Francisco
29,116302,PhD,37,Finance,New York
18,64532,PhD,5,Finance,New York
18,79253,Master,14,Marketing,Chicago
64,37323,Bachelor,19,Finance,Austin
51,98379,Master,8,Sales,Chicago
49,39210,Master,31,Engineering,Los Angeles
65,41456,High School,3,Engineering,San Francisco
42,56367,High School,17,HR,San Francisco
57,79624,High School,4,Finance,New York
62,35106,Bachelor,19,HR,Austin
18,93008,High School,22,Engineering,New York
33,97240,High School,10,Engineering,Los Angeles
56,89315,Bachelor,36,Finance,Chicago
22,94249,Bachelor,21,Sales,Chicago
39,95587,PhD,3,Sales,Austin
46,35756,High School,28,Finance,New York
20,93011,High School,33,Finance,New York
29,61378,High School,12,HR,Los Angeles
43,29255,PhD,8,Finance,Chicago
33,39484,High School,30,Sales,New York
68,81549,PhD,6,Finance,Austin
54,59503,Master,3,HR,Chicago
39,98794,PhD,18,HR,Los Angeles
46,70113,Master,29,HR,Austin
31,99069,High School,30,HR,San Francisco
45,30249,Master,34,Marketing,Los Angeles
22,44201,PhD,20,Finance,Austin
64,83576,Bachelor,30,Engineering,New York
66,34686,Master,18,Finance,San Francisco
47,78363,Master,30,Marketing,Los Angeles
63,25661,High School,31,HR,New York
69,69843,PhD,1,Marketing,San Francisco
22,85963,Master,9,Sales,Chicago
29,67828,Master,1,Sales,New York
33,73604,Master,1,Finance,Austin
43,35526,Master,23,Finance,Los Angeles
43,93910,Bachelor,16,Engineering,San Francisco
65,50592,PhD,31,Engineering,New York
38,53982,High School,15,Sales,Chicago
56,25207,High School,15,HR,Los Angeles
53,113733,Bachelor,38,Marketing,Los Angeles
50,93619,PhD,30,Engineering,New York
47,54328,Master,23,Engineering,Chicago
54,71479,Bachelor,0,HR,San Francisco
40,45103,PhD,10,HR,New York
27,64891,Master,20,Finance,San Francisco
22,35754,Bachelor,3,Marketing,Los Angeles
53,106437,PhD,6,HR,San Francisco
51,97982,High School,25,Engineering,Chicago
69,80922,High School,11,Engineering,Austin
48,73231,PhD,30,Sales,Chicago
27,54301,High School,16,HR,San Francisco
36,116652,PhD,32,Finance,New York
49,87711,Master,10,Marketing,Los Angeles
18,66323,PhD,27,Finance,Austin
22,43752,Master,31,Engineering,New York
62,107205,Bachelor,0,Finance,New York
21,38395,PhD,27,Engineering,Chicago
33,110957,Bachelor,6,Engineering,San Francisco
41,81273,High School,1,Engineering,Chicago
33,116878,Master,23,Engineering,San Francisco
19,29895,PhD,3,Engineering,Chicago
66,101559,Bachelor,18,Sales,New York
45,35699,Master,25,Finance,Los Angeles
49,90061,Master,10,Sales,San Francisco
44,34715,High School,39,Sales,Austin
37,44169,High School,10,HR,Austin
41,41163,Master,2,HR,New York
29,30782,Master,11,HR,Chicago
67,113177,PhD,2,Marketing,Chicago
52,109328,Master,26,HR,New York
50,60585,PhD,1,Finance,Austin
50,55682,Master,15,Sales,Austin
68,72864,High School,1,Finance,Chicago
60,109416,PhD,29,HR,San Francisco
54,80114,Bachelor,19,Marketing,Los Angeles
29,63067,High School,37,Marketing,San Francisco
20,67685,PhD,27,Sales,Austin
18,43073,PhD,24,Finance,San Francisco
50,61035,Bachelor,31,Engineering,Los Angeles
57,89977,PhD,9,Finance,San Francisco
27,115373,Master,39,HR,San Francisco
60,108362,Bachelor,32,Engineering,San Francisco
61,115517,High School,12,Marketing,San Francisco
46,90450,High School,36,Sales,New York
30,35382,Master,15,Sales,Austin
29,29437,High School,21,Marketing,Los Angeles
48,95971,PhD,19,HR,Austin
63,89612,PhD,26,Marketing,New York
19,115355,Master,15,HR,New York
68,86929,High School,33,Engineering,New York
67,37329,High School,31,Marketing,New York
52,50169,Master,25,HR,San Francisco
40,112468,Bachelor,24,Engineering,Austin
34,59594,High School,1,Marketing,Chicago
43,101957,Bachelor,11,Sales,Los Angeles
25,85631,High School,39,Marketing,New York
46,70033,High School,8,Finance,Austin
43,88133,High School,11,Marketing,New York
27,98165,High School,25,Finance,New York
43,98861,PhD,8,Engineering,New York
51,77290,Bachelor,9,Marketing,New York
68,119031,Bachelor,31,Engineering,New York
58,56750,High School,33,Engineering,Los Angeles
24,65461,High School,19,HR,Austin
21,98800,Bachelor,38,Engineering,New York
67,103222,PhD,1,Engineering,New York
62,49226,Master,0,Marketing,New York
28,31721,Master,35,Marketing,New York
46,81154,Bachelor,23,Sales,San Francisco
53,45609,High School,26,HR,San Francisco
42,77130,High School,1,Engineering,Chicago
38,97909,PhD,30,HR,New York
53,80249,Master,13,Finance,Chicago
27,73895,PhD,1,Engineering,Los Angeles
54,119473,Master,28,HR,Chicago
26,30656,Bachelor,14,Sales,Austin
41,99520,Master,11,Sales,San Francisco
52,88740,PhD,36,Engineering,San Francisco
66,89309,PhD,27,Finance,New York
52,54984,PhD,19,Sales,New York
65,98822,Bachelor,38,Sales,Los Angeles
53,30901,Master,23,Finance,Los Angeles
35,56552,Master,20,HR,Austin
66,116245,PhD,9,Sales,New York
56,56055,Master,13,Marketing,New York
49,62685,High School,36,Sales,Los Angeles
41,98965,High School,17,HR,Los Angeles
40,39716,High School,23,HR,Los Angeles
49,36138,Master,13,Engineering,San Francisco
54,60298,Bachelor,33,Marketing,Chicago
29,76112,Bachelor,11,HR,Chicago
66,48429,Bachelor,21,Finance,New York
30,75200,Bachelor,5,Marketing,San Francisco
40,96308,High School,35,Marketing,Los Angeles
42,73244,High School,35,Finance,New York
52,42347,PhD,21,Sales,San Francisco
58,41920,Master,13,Finance,Austin
47,56822,Master,15,Finance,San Francisco
34,71659,Bachelor,35,Sales,New York
66,65108,High School,24,Sales,Chicago
37,114099,Bachelor,31,Sales,Los Angeles
65,32967,PhD,32,Sales,Austin
42,36871,Master,35,Sales,San Francisco
39,119299,Master,19,Finance,New York
30,102452,Bachelor,17,Engineering,New York
36,99270,PhD,37,Engineering,Los Angeles
66,58613,Master,2,HR,New York
53,53179,PhD,22,Engineering,New York
29,77188,PhD,31,Engineering,Los Angeles
58,80099,Bachelor,15,Finance,Austin
36,60262,High School,4,Sales,Chicago
29,103213,Bachelor,3,Sales,Chicago
26,43268,High School,20,Finance,San Francisco
24,102866,PhD,39,Engineering,Austin
45,111269,High School,13,Finance,San Francisco
31,85545,PhD,38,HR,Chicago
48,117822,Master,30,Sales,Los Angeles
69,97146,Master,13,Marketing,New York
36,96966,Master,5,HR,Chicago
64,64922,Bachelor,11,HR,Austin
33,104364,Bachelor,15,Finance,Chicago
22,67913,PhD,16,Engineering,Austin
52,80677,Master,22,Sales,Austin
29,74841,Bachelor,13,Marketing,Austin
42,71332,Master,6,HR,San Francisco
69,117062,Bachelor,31,Marketing,Los Angeles
38,50032,High School,14,Engineering,Chicago
53,62846,High School,16,Engineering,Los Angeles
40,84474,Master,33,Marketing,New York
33,69936,PhD,4,Sales,Chicago
56,54794,Bachelor,26,Engineering,Los Angeles
62,86588,Bachelor,22,Marketing,Los Angeles
59,95984,High School,39,HR,New York
56,75331,High School,13,Marketing,Austin
31,119397,PhD,14,Marketing,Chicago
48,53141,PhD,32,Finance,Chicago
22,34074,PhD,30,Engineering,New York
52,31406,Master,34,Sales,Austin
40,48291,High School,16,Sales,Chicago
46,66568,Master,27,Finance,Chicago
60,71851,High School,18,Sales,Chicago
28,79823,High School,22,Marketing,Austin
35,48312,Bachelor,31,Finance,New York
64,68108,High School,39,HR,Chicago
29,91918,High School,12,Engineering,Los Angeles
26,59171,Master,19,Engineering,Austin
27,66779,High School,34,Engineering,San Francisco
61,93828,Master,4,Marketing,New York
34,37411,PhD,8,HR,Los Angeles
55,82009,High School,28,Finance,Chicago
24,40422,High School,5,Finance,San Francisco
63,67468,Master,24,Engineering,New York
30,57371,PhD,30,HR,Austin
57,82022,Bachelor,21,HR,San Francisco
59,96229,PhD,1,HR,San Francisco
26,76196,Master,4,Sales,Los Angeles
67,105354,PhD,26,Sales,New York
44,51715,Master,24,Engineering,Los Angeles
19,52605,Master,7,HR,Los Angeles
22,56174,Bachelor,0,HR,Chicago
46,34956,High School,19,Finance,Austin
54,101373,Master,22,Finance,San Francisco
55,94252,Master,31,Engineering,New York
36,86949,Bachelor,10,HR,Austin
